"poll.id","Title","Result","Ausschuss1","Ausschuss2","Ausschuss3","Label1","Label2","Label3"
1453,"Höhere Regionalisierungsmittel für den Bahnverkehr",FALSE,NA,NA,NA,"Verkehr",NA,NA
1234,"Verlängerung des Bundeswehreinsatzes im Libanon (UNIFIL) (2017)",TRUE,NA,NA,NA,"Außenpolitik und internationale Beziehungen",NA,NA
1233,"Verlängerung des Bundeswehreinsatzes im Mittelmeer (EUNAVFOR MED) (2017)",TRUE,NA,NA,NA,"Außenpolitik und internationale Beziehungen",NA,NA
1232,"Ehe für Alle",TRUE,NA,NA,NA,"Gesellschaftspolitik, soziale Gruppen",NA,NA
1231,"Ausschluss extremistischer Parteien von der Parteienfinanzierung",TRUE,NA,NA,NA,"Öffentliche Finanzen, Steuern und Abgaben","Finanzen","Politisches Leben, Parteien"
1230,"Verlängerung des Bundeswehreinsatzes im Kosovo (KFOR) (2017)",TRUE,NA,NA,NA,"Außenpolitik und internationale Beziehungen","Verteidigung",NA
1229,"Abschaffung der sachgrundlosen Befristung",FALSE,"Ausschuss für Arbeit und Soziales",NA,NA,"Arbeit und Beschäftigung","Recht",NA
1228,"Verlegung der Bundeswehr aus der Türkei nach Jordanien",TRUE,NA,NA,NA,"Außenpolitik und internationale Beziehungen","Verteidigung",NA
1227,"Rentenüberleitungsgesetz",TRUE,NA,NA,NA,"Senioren","Deutsche Einheit / Innerdeutsche Beziehungen (bis 1990)","Soziale Sicherung"
1226,"Vorläufiger Abschiebestopp nach Afghanistan",TRUE,NA,NA,NA,"Migration und Aufenthaltsrecht","Humanitäre Hilfe","Menschenrechte"
1225,"Neuregelung des bundesstaatlichen Finanzausgleichs",TRUE,NA,NA,NA,"Öffentliche Finanzen, Steuern und Abgaben","Finanzen","Haushalt"
1224,"Verlängerung des Bundeswehreinsatzes in Somalia (Atalanta) (2017)",TRUE,NA,NA,NA,"Außenpolitik und internationale Beziehungen",NA,NA
1223,"Verlängerung des Bundeswehreinsatzes in Mali (EUTM) (2017)",TRUE,NA,NA,NA,"Außenpolitik und internationale Beziehungen",NA,NA
1222,"Einführung eines Verbandsklagerechts im Lohngerechtigkeitsgesetz",FALSE,NA,NA,NA,"Arbeit und Beschäftigung","Frauen","Recht"
1221,"Bundeswehreinsatz in Somalia (EUTM) (2017)",TRUE,NA,NA,NA,"Verteidigung",NA,NA
1220,"Anpassung der PKW-Maut",TRUE,NA,NA,NA,"Öffentliche Finanzen, Steuern und Abgaben","Verkehr","Wirtschaft"
1219,"Keine Erhöhung der Verteidigungsausgaben auf 2 Prozent des BIP",FALSE,NA,NA,NA,"Öffentliche Finanzen, Steuern und Abgaben","Haushalt","Verteidigung"
1218,"Verbesserung der Mietpreisbremse",FALSE,NA,NA,NA,"Gesellschaftspolitik, soziale Gruppen","Raumordnung, Bau- und Wohnungswesen","Recht"
1217,"Schaffung einer zentralen Gesellschaft für Autobahnen und Bundesstraßen",TRUE,NA,NA,NA,"Verkehr","Wirtschaft",NA
1212,"Fortsetzung der Ausbildungsunterstützung im Irak (2017)",TRUE,NA,NA,NA,"Außenpolitik und internationale Beziehungen","Verteidigung",NA
1211,"Fortsetzung des Bundeswehreinsatzes in Mali",TRUE,NA,NA,NA,"Verteidigung",NA,NA
1210,"Angleichung der Rentenansprüche von DDR-Krankenschwestern",FALSE,NA,NA,NA,"Senioren","Deutsche Einheit / Innerdeutsche Beziehungen (bis 1990)","Soziale Sicherung"
1209,"Angleichung der Rentenansprüche von DDR-Bergleuten",FALSE,NA,NA,NA,"Senioren","Deutsche Einheit / Innerdeutsche Beziehungen (bis 1990)","Soziale Sicherung"
1208,"Verlängerung des Bundeswehreinsatz in Afghanistan (2016)",TRUE,NA,NA,NA,"Außenpolitik und internationale Beziehungen",NA,NA
1207,"Gesetz zur Bekämpfung der Schwarzarbeit",TRUE,NA,NA,NA,"Arbeit und Beschäftigung","Recht",NA
1206,"Verlängerung des Bundeswehreinsatzes in Darfur (2016)",TRUE,NA,NA,NA,"Außenpolitik und internationale Beziehungen",NA,NA
1205,"Verlängerung des Bundeswehreinsatzes in Südsudan (2016)",TRUE,NA,NA,NA,"Außenpolitik und internationale Beziehungen",NA,NA
1204,"Gesetzesentwurf zur Verantwortung für die kerntechnische Entsorgung",TRUE,NA,NA,NA,"Energie","Umwelt","Naturschutz"
1203,"Aktualisierung des Regelbedarfs und der Regelbedarfsstufen",TRUE,"Ausschuss für Arbeit und Soziales","Ausschuss für Familie, Senioren, Frauen und Jugend",NA,"Recht","Soziale Sicherung",NA
1202,"Anpassung des Seefischereigesetzes an das EU-Recht",TRUE,NA,NA,NA,"Umwelt","Naturschutz","Wirtschaft"
1201,"Haushalt 2017",TRUE,NA,NA,NA,"Finanzen",NA,NA
1200,"Einsatz deutscher Streitkräfte gegen den IS in Syrien (2016)",TRUE,NA,NA,NA,"Verteidigung",NA,NA
1199,"Arzneimittelreform",TRUE,NA,NA,NA,"Gesundheit","Wissenschaft, Forschung und Technologie","Forschung"
1198,"Privatisierung von Bundesliegenschaften stoppen",FALSE,NA,NA,NA,"Raumordnung, Bau- und Wohnungswesen",NA,NA
1197,"Mietrechtsreform 2016",FALSE,NA,NA,NA,"Raumordnung, Bau- und Wohnungswesen","Verbraucherschutz",NA
1196,"CETA weiterverfolgen",TRUE,NA,NA,NA,"Außenwirtschaft","Wirtschaft",NA
1195,"Bundeswehrbeteiligung an NATO-Operation SEA GUARDIAN (2016)",TRUE,NA,NA,NA,"Verteidigung",NA,NA
1194,"Antrag auf Verkauf des Dragoner-Areals",FALSE,NA,NA,NA,"Raumordnung, Bau- und Wohnungswesen",NA,NA
1167,"Reform des Erneuerbare-Energien-Gesetzes (EEG)",TRUE,NA,NA,NA,"Energie","Verbraucherschutz","Umwelt"
1166,"Reform des Sexualstrafrechts (Nein heißt Nein)",TRUE,NA,NA,NA,"Frauen","Menschenrechte",NA
1165,"Verlängerung des Bundeswehreinsatzes im Kosovo (KFOR) (2016)",TRUE,NA,NA,NA,"Außenpolitik und internationale Beziehungen",NA,NA
1164,"Erbschaftssteuerreform bzg. Firmenerbe",TRUE,NA,NA,NA,"Öffentliche Finanzen, Steuern und Abgaben","Wirtschaft",NA
1163,"Fracking-Neuregelung: Verbot von unkonventionellem Fracking",TRUE,NA,NA,NA,"Energie","Naturschutz","Wirtschaft"
1162,"Verlängerung des Bundeswehreinsatzes im Libanon (UNIFIL) (2016)",TRUE,NA,NA,NA,"Außenpolitik und internationale Beziehungen",NA,NA
1161,"Einstufung von Algerien, Marokko und Tunesien als sichere Herkunftsstaaten (2016)",TRUE,NA,NA,NA,"Migration und Aufenthaltsrecht",NA,NA
1160,"Verlängerung des Bundeswehreinsatzes in Somalia (Atalanta) (2016)",TRUE,NA,NA,NA,"Außenpolitik und internationale Beziehungen",NA,NA
1159,"Verlängerung des Bundeswehreinsatzes in Mali (2016)",TRUE,NA,NA,NA,"Außenpolitik und internationale Beziehungen",NA,NA
1158,"Grundsätzliches Fracking-Verbot",FALSE,NA,NA,NA,"Energie","Naturschutz","Wirtschaft"
1157,"Bekämpfung von Korruption im Gesundheitswesen",TRUE,NA,NA,NA,"Gesundheit","Recht","Wirtschaft"
1156,"Verlängerung des Bundeswehreinsatzes in Somalia (EUTM) (2016)",TRUE,NA,NA,NA,"Außenpolitik und internationale Beziehungen",NA,NA
1155,"Neuzulassung von Glyphosat verhindern",FALSE,NA,NA,NA,"Verbraucherschutz","Umwelt","Naturschutz"
1154,"Verschärfung des Asylrechts (Asylpaket II)",TRUE,NA,NA,NA,"Außenpolitik und internationale Beziehungen","Migration und Aufenthaltsrecht","Menschenrechte"
1153,"Verlängerung des Bundeswehreinsatzes in Nord-Irak (2016)",TRUE,NA,NA,NA,"Außenpolitik und internationale Beziehungen",NA,NA
1152,"2016: Verlängerung des Bundeswehreinsatzes in Mali (MINUSMA)",TRUE,NA,NA,NA,"Humanitäre Hilfe","Verteidigung",NA
1151,"Verlängerung des Bundeswehreinsatzes im Mittelmeer (OAE) (2016)",TRUE,NA,NA,NA,"Außenpolitik und internationale Beziehungen",NA,NA
1150,"Umsetzung Aktionsprogramm Klimaschutz 2020",FALSE,NA,NA,NA,"Umwelt",NA,NA
1149,"Bundeswehreinsatz gegen den IS in Syrien (2015)",TRUE,NA,NA,NA,"Verteidigung",NA,NA
1148,"Verlängerung Bundeswehr-Einsatz in Darfur (UNAMID) (2015)",TRUE,NA,NA,NA,"Außenpolitik und internationale Beziehungen",NA,NA
1147,"Verlängerung des Bundeswehreinsatzes im Südsudan (UNMISS) (2016)",TRUE,NA,NA,NA,"Außenpolitik und internationale Beziehungen",NA,NA
1146,"Verlängerung des Afghanistan-Einsatzes der Bundeswehr (2016)",TRUE,NA,NA,NA,"Außenpolitik und internationale Beziehungen",NA,NA
