"id","label.x","abgeordnetenwatch_url","first_name","last_name","sex","year_of_birth","party.id","party.label","education","residence","occupation","statistic_questions","statistic_questions_answered","field_title","party_past","birth_name","id.mandat","parliament_period_label","politician_abgeordnetenwatch_url","start_date","end_date","info","electoral_data_id","electoral_data_electoral_list.id","electoral_data_electoral_list.label","electoral_data_list_position","electoral_data_constituency.id","electoral_data_constituency.label","electoral_data_constituency_result","electoral_data_constituency_result_count","electoral_data_mandate_won","latitude","longitude"
78830,"Carsten Sieling","https://www.abgeordnetenwatch.de/profile/carsten-sieling","Carsten","Sieling","m",1959,1,"SPD","Dipl. Ökonom","Bremen","MdBB",4,NA,NA,NA,NA,45212,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/carsten-sieling",NA,NA,NA,45212,60,"Landesliste Bremen (Bundestag 2009-2013)",3,1553,"55 - Bremen I (Bundestag 2009-2013)",33.7,NA,NA,53.0758196,8.8071646
79190,"Ingbert Liebing","https://www.abgeordnetenwatch.de/profile/ingbert-liebing","Ingbert","Liebing","m",1963,2,"CDU","Magister Politische Wissenschaften, Literaturwissenschaften und Orientalistik",NA,"Bürgermeister a.D., MdB",NA,NA,NA,NA,NA,44905,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/ingbert-liebing",NA,NA,NA,44905,69,"Landesliste Schleswig-Holstein (Bundestag 2009-2013)",7,1704,"2 - Nordfriesland - Dithmarschen Nord (Bundestag 2009-2013)",43.1,NA,NA,54.5887662,9.0726687613298
79256,"Ulrich Kelber","https://www.abgeordnetenwatch.de/profile/ulrich-kelber","Ulrich","Kelber","m",1968,1,"SPD","Diplom-Informatiker",NA,"MdB",NA,NA,NA,NA,NA,44769,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/ulrich-kelber",NA,NA,NA,44769,64,"Landesliste Nordrhein-Westfalen (Bundestag 2009-2013)",16,264,"97 - Bonn (Bundestag 2009-2013)",33.3,NA,NA,50.735851,7.10066
78862,"Stephan Harbarth","https://www.abgeordnetenwatch.de/profile/stephan-harbarth","Stephan","Harbarth","m",1971,2,"CDU",NA,NA,"Rechtsanwalt",NA,NA,NA,NA,NA,44765,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/stephan-harbarth",NA,NA,NA,44765,56,"Landesliste Baden-Württemberg (Bundestag 2009-2013)",2,1736,"277 - Rhein-Neckar (Bundestag 2009-2013)",42.3,NA,NA,49.35228615,8.80149778588387
79025,"Gerhard Schick","https://www.abgeordnetenwatch.de/profile/gerhard-schick","Gerhard","Schick","m",1972,5,"Bündnis 90/Die Grünen","Volkswirt",NA,"MdB",NA,NA,NA,NA,NA,44598,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/gerhard-schick",NA,NA,NA,44598,56,"Landesliste Baden-Württemberg (Bundestag 2009-2013)",4,1677,"275 - Mannheim (Bundestag 2009-2013)",12.6,NA,NA,49.4892913,8.4673098
79003,"Ewald Schurer","https://www.abgeordnetenwatch.de/profile/ewald-schurer","Ewald","Schurer","m",1954,1,"SPD","Dipl. Betriebswirt (FH)",NA,"MdB, Ausschuss für Arbeit und Soziales & Haushaltsausschuss",NA,NA,NA,NA,NA,44591,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/ewald-schurer",NA,NA,NA,44591,57,"Landesliste Bayern (Bundestag 2009-2013)",9,1586,"214 - Erding - Ebersberg (Bundestag 2009-2013)",17.6,NA,NA,48.19293645,11.9471637849549
79060,"Carola Reimann","https://www.abgeordnetenwatch.de/profile/carola-reimann","Carola","Reimann","f",1967,1,"SPD","Biotechnologin",NA,"Mitglied des Bundestages",NA,NA,NA,NA,NA,44575,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/carola-reimann",NA,NA,NA,44575,63,"Landesliste Niedersachsen (Bundestag 2009-2013)",17,1552,"51 - Braunschweig (Bundestag 2009-2013)",38.7,NA,NA,52.2646577,10.5236066
119922,"Ewa Klamt","https://www.abgeordnetenwatch.de/profile/ewa-klamt","Ewa","Klamt","f",1950,2,"CDU","Fremdsprachendozentin",NA,"MdEP",NA,NA,NA,NA,NA,44398,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/ewa-klamt","2010-04-29",NA,NA,44398,63,"Landesliste Niedersachsen (Bundestag 2009-2013)",15,269,"46 - Gifhorn - Peine (Bundestag 2009-2013)",37,NA,"list",52.5044918,10.4848413619047
79460,"Dirk Becker","https://www.abgeordnetenwatch.de/profile/dirk-becker","Dirk","Becker","m",1966,1,"SPD","abgeschlossene Ausbildung im mittleren Verwaltungsdienst, Diplomverwaltungswirt (FH)",NA,"MdL",NA,NA,NA,NA,NA,44395,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/dirk-becker",NA,NA,NA,44395,64,"Landesliste Nordrhein-Westfalen (Bundestag 2009-2013)",33,1667,"136 - Lippe I (Bundestag 2009-2013)",40.2,NA,NA,52.0465305,8.91756184805122
79395,"Elke Ferner","https://www.abgeordnetenwatch.de/profile/elke-ferner","Elke","Ferner","f",1958,1,"SPD","Programmiererin",NA,NA,NA,NA,NA,NA,NA,44392,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/elke-ferner",NA,NA,NA,44392,66,"Landesliste Saarland (Bundestag 2009-2013)",1,285,"296 - Saarbrücken (Bundestag 2009-2013)",30.4,NA,NA,49.234362,6.996379
