"id","label.x","abgeordnetenwatch_url","first_name","last_name","sex","year_of_birth","party.id","party.label","education","occupation","statistic_questions","statistic_questions_answered","residence","field_title","party_past","birth_name","id.mandat","parliament_period_label","politician_abgeordnetenwatch_url","start_date","end_date","info","electoral_data_id","electoral_data_electoral_list.id","electoral_data_electoral_list.label","electoral_data_list_position","electoral_data_constituency.id","electoral_data_constituency.label","electoral_data_constituency_result","electoral_data_constituency_result_count","electoral_data_mandate_won","latitude","longitude"
147321,"Gereon Bollmann","https://www.abgeordnetenwatch.de/profile/gereon-bollmann","Gereon","Bollmann","m",1953,9,"AfD","Jurist","Richter am Oberlandesgericht (a.D.)",7,7,NA,NA,NA,NA,54382,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/gereon-bollmann","2021-10-01",NA,NA,55306,NA,NA,NA,NA,NA,NA,NA,"moved_up",NA,NA
122163,"Zeki Gökhan","https://www.abgeordnetenwatch.de/profile/zeki-goekhan","Zeki","Gökhan","m",1956,8,"DIE LINKE",NA,"Lagerleiter",1,1,NA,NA,NA,NA,52657,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/zeki-goekhan","2021-08-19",NA,NA,53581,115,"Landesliste Nordrhein-Westfalen (Bundestag 2017 - 2021)",14,4215,"91 - Rhein-Erft-Kreis I (Bundestag 2017 - 2021)",4.5,NA,"moved_up",50.9443813,6.65382495843019
121214,"Florian Jäger","https://www.abgeordnetenwatch.de/profile/florian-jaeger","Florian","Jäger","m",1971,9,"AfD","Allg. Hochschulreife","Mitglied des Bundestags",NA,NA,NA,NA,NA,NA,52107,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/florian-jaeger","2021-07-20",NA,NA,53029,NA,NA,NA,4339,"215 - Fürstenfeldbruck (Bundestag 2017 - 2021)",NA,NA,"moved_up",48.1813797,11.2382125
176895,"Susanne Wetterich","https://www.abgeordnetenwatch.de/profile/susanne-wetterich","Susanne","Wetterich","f",1956,2,"CDU","Journalistin","MdB",NA,NA,NA,NA,NA,NA,50986,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/susanne-wetterich","2021-07-01",NA,NA,51908,NA,NA,NA,NA,NA,NA,NA,"moved_up",NA,NA
146042,"Marcel Emmerich","https://www.abgeordnetenwatch.de/profile/marcel-emmerich","Marcel","Emmerich","m",1991,5,"Bündnis 90/Die Grünen","Wissenschaftlicher Referent","Bundestagsabgeordneter",37,35,"Ulm",NA,NA,NA,48532,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/marcel-emmerich","2021-06-01",NA,NA,49454,106,"Landesliste Baden-Württemberg (Bundestag 2017 - 2021)",NA,4415,"291 - Ulm (Bundestag 2017 - 2021)",NA,NA,"moved_up",48.3974003,9.9934336
78945,"Thomas Viesehon","https://www.abgeordnetenwatch.de/profile/thomas-viesehon","Thomas","Viesehon","m",1973,2,"CDU","Bankkaufmann","MdB",NA,NA,NA,NA,NA,NA,48522,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/thomas-viesehon","2021-05-08",NA,NA,49444,112,"Landesliste Hessen (Bundestag 2017 - 2021)",NA,NA,NA,NA,NA,"moved_up",NA,NA
121099,"Christopher Gohl","https://www.abgeordnetenwatch.de/profile/christopher-gohl","Christopher","Gohl","m",1974,4,"FDP","Mediator, Dr. rer. pol.","Wissenschaftler",2,NA,NA,NA,NA,NA,48231,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/christopher-gohl","2021-05-01",NA,NA,49153,106,"Landesliste Baden-Württemberg (Bundestag 2017 - 2021)",NA,NA,NA,NA,NA,"moved_up",NA,NA
79099,"Tim Ostermann","https://www.abgeordnetenwatch.de/profile/tim-ostermann","Tim","Ostermann","m",1979,2,"CDU","Studium der Rechtswissenschaften","MdB / Rechtsanwalt",NA,NA,NA,NA,NA,NA,48230,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/tim-ostermann","2021-05-01",NA,NA,49152,115,"Landesliste Nordrhein-Westfalen (Bundestag 2017 - 2021)",NA,NA,NA,NA,NA,"moved_up",NA,NA
122369,"Maika Friemann-Jennert","https://www.abgeordnetenwatch.de/profile/maika-friemann-jennert","Maika","Friemann-Jennert","f",1964,2,"CDU","Diplombibliothekarin (FH)","MdL",NA,NA,NA,NA,NA,NA,48217,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/maika-friemann-jennert","2021-04-09",NA,NA,49139,113,"Landesliste Mecklenburg-Vorpommern (Bundestag 2017 - 2021)",NA,NA,NA,NA,NA,"moved_up",NA,NA
175001,"Kristina Nordt","https://www.abgeordnetenwatch.de/profile/kristina-nordt","Kristina","Nordt","f",1982,2,"CDU","M. A. Staatswissenschaften-Sozialwissenschaften","MdB",NA,NA,"Erfurt",NA,NA,NA,47908,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/kristina-nordt","2021-03-22",NA,NA,48830,121,"Landesliste Thüringen (Bundestag 2017 - 2021)",NA,NA,NA,NA,NA,"moved_up",50.9777974,11.0287364
