"id","label.x","abgeordnetenwatch_url","first_name","last_name","sex","year_of_birth","party.id","party.label","education","residence","occupation","statistic_questions","statistic_questions_answered","birth_name","field_title","party_past","id.mandat","parliament_period_label","politician_abgeordnetenwatch_url","start_date","end_date","info","electoral_data_id","electoral_data_electoral_list.id","electoral_data_electoral_list.label","electoral_data_list_position","electoral_data_constituency.id","electoral_data_constituency.label","electoral_data_constituency_result","electoral_data_constituency_result_count","electoral_data_mandate_won","latitude","longitude"
78922,"Ingo Wellenreuther","https://www.abgeordnetenwatch.de/profile/ingo-wellenreuther","Ingo","Wellenreuther","m","1959","2","CDU","Vorsitzender Richter am Landgericht a.D.","Karlsruhe","Mitglied des Deutschen Bundestages","2","1",NA,NA,NA,61989,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/ingo-wellenreuther","2024-06-10",NA,"Ingo Wellenreuther ist am 10.06.2024 für Diana Stöcker in den Bundestag nachgerückt.",62913,410,"Landesliste Baden-Württemberg (Bundestag 2021 - 2025)",8,11011,"271 - Karlsruhe-Stadt (Bundestag 2021 - 2025)",19.5,NA,"moved_up",49.0068705,8.4034195
175432,"Heike Heubach","https://www.abgeordnetenwatch.de/profile/heike-heubach","Heike","Heubach","f","1979","1","SPD",NA,"Stadtbergen",NA,"1",NA,NA,NA,NA,60644,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/heike-heubach","2024-03-20",NA,"Heike Heubach ist am 20.03.2024 für Uli Grötsch in den Bundestag nachgerückt.",61568,411,"Landesliste Bayern (Bundestag 2021 - 2025)",24,10993,"253 - Augsburg-Land (Bundestag 2021 - 2025)",14.5,NA,"moved_up",48.3666284,10.8442814
146135,"Jörg Cezanne","https://www.abgeordnetenwatch.de/profile/joerg-cezanne","Jörg","Cezanne","m","1958","8","DIE LINKE","Groß- und Außenhandelskaufmann, Betriebswirt (VWA), Soziologe","Mörfelden-Walldorf","Mitglied des Bundestages",NA,NA,NA,NA,NA,60641,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/joerg-cezanne","2024-03-04",NA,"Jörg Cezanne ist aufgrund der Wiederholungswahl in Berlin am 11.02.2024 für Pascal Meiser in den Bundestag nachgerückt.",61565,416,"Landesliste Hessen (Bundestag 2021 - 2025)",4,10924,"184 - Groß-Gerau (Bundestag 2021 - 2025)",4,NA,"moved_up",49.9923836,8.5622468
180762,"Angela Hohmann","https://www.abgeordnetenwatch.de/profile/angela-hohmann","Angela","Hohmann","f","1963","1","SPD","Sozialversicherungsfachangestellte","Celle",NA,NA,NA,NA,NA,NA,60639,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/angela-hohmann","2024-03-04",NA,"Angela Hohmann ist aufgrund der Wiederholungswahl in Berlin am 11.02.2024 für Ana-Maria Trăsnea in den Bundestag nachgerückt.",61563,418,"Landesliste Niedersachsen (Bundestag 2021 - 2025)",NA,NA,NA,NA,NA,"moved_up",52.624056,10.081052
145961,"Franziska Krumwiede-Steiner","https://www.abgeordnetenwatch.de/profile/franziska-krumwiede-steiner","Franziska","Krumwiede-Steiner","f","1985","5","Bündnis 90/Die Grünen","Dr. phil.",NA,"Referendarin ","4","2","Krumwiede","Dr.",NA,60638,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/franziska-krumwiede-steiner","2024-03-04",NA,"Franziska Krumwiede-Steiner ist aufgrund der Wiederholungswahl in Berlin am 11.02.2024 für Nina Stahr in den Bundestag nachgerückt.",61562,419,"Landesliste Nordrhein-Westfalen (Bundestag 2021 - 2025)",29,10858,"118 - Mülheim - Essen I (Bundestag 2021 - 2025)",14.1,NA,"moved_up",NA,NA
175589,"Jürgen Kretz","https://www.abgeordnetenwatch.de/profile/juergen-kretz","Jürgen","Kretz","m","1982","5","Bündnis 90/Die Grünen","Politikwissenschaftler","Wiesloch","Referent im Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ)","6","6",NA,NA,NA,60635,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/juergen-kretz","2024-02-14",NA,"Jürgen Kretz ist am 14.02.2024 für Christian Kühn in den Bundestag nachgerückt.",61559,410,"Landesliste Baden-Württemberg (Bundestag 2021 - 2025)",19,11017,"277 - Rhein-Neckar (Bundestag 2021 - 2025)",14.9,NA,"moved_up",49.2942599,8.698707
175477,"Nadine Ruf","https://www.abgeordnetenwatch.de/profile/nadine-ruf","Nadine","Ruf","f","1978","1","SPD","Diplom-Betriebswirtin","Wiesbaden","Geschäftsführerin","12","12",NA,NA,NA,60633,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/nadine-ruf","2024-01-26",NA,"Nadine Ruf ist am 26.01.2024 für Timon Gremmels in den Bundestag nachgerückt.",61557,416,"Landesliste Hessen (Bundestag 2021 - 2025)",10,10919,"179 - Wiesbaden (Bundestag 2021 - 2025)",25.8,NA,"moved_up",50.0820384,8.2416556
145886,"Bettina Wiesmann","https://www.abgeordnetenwatch.de/profile/bettina-wiesmann","Bettina","Wiesmann","f","1966","2","CDU",NA,NA,"MdB","1",NA,NA,NA,NA,60632,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/bettina-wiesmann","2024-01-26",NA,"Bettina Wiesmann ist am 26.01.2024 für Armin Schwarz in den Bundestag nachgerückt.",61556,NA,NA,NA,10923,"183 - Frankfurt am Main II (Bundestag 2021 - 2025)",22.5,NA,"moved_up",NA,NA
145889,"Astrid Mannes","https://www.abgeordnetenwatch.de/profile/astrid-mannes","Astrid","Mannes","f","1967","2","CDU","Magister in den Fächern Geschichte, Politikwissenschaft und Öffentliches Recht","Mühltal","Bundestagsabgeordnete",NA,NA,NA,"Dr.",NA,60631,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/astrid-mannes","2024-01-26",NA,"Astrid Mannes ist am 26.01.2024 für Ingmar Jung in den Bundestag nachgerückt.",61555,NA,NA,NA,10926,"186 - Darmstadt (Bundestag 2021 - 2025)",22.7,NA,"moved_up",49.8077,8.6941
79073,"Martin Rabanus","https://www.abgeordnetenwatch.de/profile/martin-rabanus","Martin","Rabanus","m","1971","1","SPD","Hochschulstudium Politikwissenschaften, Jura, Soziolgie, Geschichte",NA,"MdB","1","1",NA,NA,NA,60630,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/martin-rabanus","2024-01-26",NA,"Martin Rabanus ist am 26.01.2024 für Kaweh Mansoori in den Bundestag nachgerückt.",61554,416,"Landesliste Hessen (Bundestag 2021 - 2025)",9,10918,"178 - Rheingau-Taunus - Limburg (Bundestag 2021 - 2025)",28.5,NA,"moved_up",NA,NA
