"poll.id","Title","Result","Ausschuss1","Ausschuss2","Ausschuss3","Label1","Label2","Label3"
999,"Verbot der NPD",FALSE,NA,NA,NA,"Politisches Leben, Parteien",NA,NA
998,"Verlängerung des Bundeswehreinsatzes in Mali",TRUE,NA,NA,NA,"Entwicklungspolitik",NA,NA
996,"Betreuungsgeld verhindern (Änderungsantrag)",FALSE,NA,NA,NA,"Arbeit und Beschäftigung","Bildung und Erziehung",NA
995,"Bundeswehr auch in Zukunft an Libanon-Einsatz UNIFIL beteiligt",TRUE,NA,NA,NA,"Verteidigung",NA,NA
993,"Schärfere Regeln gegen Abgeordnetenbestechung",FALSE,NA,NA,NA,"Lobbyismus & Transparenz",NA,NA
990,"EU-Operation Atalanta",TRUE,NA,NA,NA,"Verteidigung",NA,NA
987,"Finanzhilfen für Zypern (ESM)",TRUE,NA,NA,NA,"Außenpolitik und internationale Beziehungen","Finanzen",NA
986,"Frauenquote in Aufsichtsräten",FALSE,NA,NA,NA,"Arbeit und Beschäftigung","Frauen",NA
983,"Privatisierung der Wasserversorgung verhindern (Grünen-Antrag)",FALSE,NA,NA,NA,"Recht","Menschenrechte","Wirtschaft"
982,"Privatisierung der Wasserversorgung verhindern (Linken-Antrag)",FALSE,NA,NA,NA,"Recht","Menschenrechte","Wirtschaft"
981,"Mali-Einsatz (militärische Ausbildungsmission)",TRUE,NA,NA,NA,"Außenpolitik und internationale Beziehungen",NA,NA
980,"Mali-Einsatz (internationale Unterstützungsmission)",TRUE,NA,NA,NA,"Außenpolitik und internationale Beziehungen",NA,NA
978,"Leistungsschutzrecht",TRUE,NA,NA,NA,"Medien, Kommunikation und Informationstechnik","Recht",NA
977,"Verlängerung Afghanistan-Einsatz (ISAF)",TRUE,NA,NA,NA,"Außenpolitik und internationale Beziehungen",NA,NA
965,"Mietrechtsreform",TRUE,NA,NA,NA,"Raumordnung, Bau- und Wohnungswesen","Recht","Verbraucherschutz"
964,"Patriot-Einsatz in der Türkei",TRUE,NA,NA,NA,"Außenpolitik und internationale Beziehungen","Verteidigung",NA
963,"Beschneidung von Jungen aus religiösen Gründen",TRUE,NA,NA,NA,"Gesellschaftspolitik, soziale Gruppen","Recht",NA
962,"Finanzhilfe für Griechenland",TRUE,NA,NA,NA,"Außenpolitik und internationale Beziehungen","Europapolitik und Europäische Union","Finanzen"
960,"Einführung eines Betreuungsgeldes",TRUE,NA,NA,NA,"Bildung und Erziehung","Familie",NA
